Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2014-AB10015140-41954,11/11/2014,11/13/2014,First Class,AB-100151402,TEC-PH-5816,Technology,Phones,221.98,2,0.0,62.15
IN-2014-JR162107-41675,2/5/2014,2/7/2014,Second Class,JR-162107,FUR-CH-5379,Furniture,Chairs,3709.4,9,0.1,-288.77
IN-2014-CR127307-41929,10/17/2014,10/18/2014,First Class,CR-127307,TEC-PH-5356,Technology,Phones,5175.17,9,0.1,919.97
ES-2014-KM1637548-41667,1/28/2014,1/30/2014,First Class,KM-1637548,TEC-PH-5267,Technology,Phones,2892.51,5,0.1,-96.54
SG-2014-RH9495111-41948,11/5/2014,11/6/2014,Same Day,RH-9495111,TEC-CO-6011,Technology,Copiers,2832.96,8,0.0,311.52
IN-2014-JM156557-41818,6/28/2014,7/1/2014,Second Class,JM-156557,TEC-PH-5842,Technology,Phones,2862.68,5,0.1,763.28
IN-2012-TS2134092-41219,11/6/2012,11/8/2012,First Class,TS-2134092,FUR-CH-5378,Furniture,Chairs,1822.08,4,0.0,564.84
IN-2013-MB1808592-41378,4/14/2013,4/18/2013,Standard Class,MB-1808592,FUR-TA-3764,Furniture,Tables,5244.84,6,0.0,996.48
CA-2014-AB10015140-41954,11/11/2014,11/13/2014,First Class,AB-100151402,FUR-BO-5957,Furniture,Bookcases,341.96,2,0.0,54.71
CA-2012-AB10015140-40974,3/6/2012,3/7/2012,First Class,AB-100151404,FUR-CH-4421,Furniture,Chairs,48.71,1,0.2,5.48
CA-2012-AB10015140-40974,3/6/2012,3/7/2012,First Class,AB-100151404,OFF-AR-5309,Office Supplies,Art,17.94,3,0.0,4.66
ID-2013-AJ107801-41383,4/19/2013,4/22/2013,First Class,AJ-107801,FUR-TA-3420,Furniture,Tables,4626.15,5,0.0,647.55
SA-2012-MM7260110-41269,12/26/2012,12/28/2012,Second Class,MM-7260110,TEC-PH-3807,Technology,Phones,2616.96,4,0.0,1151.4
MX-2013-VF2171518-41591,11/13/2013,11/13/2013,Same Day,VF-2171518,FUR-CH-4530,Furniture,Chairs,2221.8,7,0.0,622.02
